latitude,longitude,region
67.28502,83.0325,Krasnoyarsk Kray
67.28142,83.03697,Krasnoyarsk Kray
67.28086,83.03783,Krasnoyarsk Kray
67.28477,83.0397,Krasnoyarsk Kray
67.33596,83.12824,Krasnoyarsk Kray
67.5191,83.21201,Krasnoyarsk Kray
67.56208,83.21992,Krasnoyarsk Kray
67.59382,83.24458,Krasnoyarsk Kray
68.41473,83.61795,Krasnoyarsk Kray
68.41811,83.62084,Krasnoyarsk Kray
68.41352,83.62814,Krasnoyarsk Kray
68.41398,83.63084,Krasnoyarsk Kray
68.4169,83.63106,Krasnoyarsk Kray
68.41504,83.63342,Krasnoyarsk Kray
68.41521,83.63683,Krasnoyarsk Kray
68.37425,83.67583,Krasnoyarsk Kray
69.36936,88.1192,Krasnoyarsk Kray
56.22745,90.40438,Krasnoyarsk Kray
56.22588,90.40541,Krasnoyarsk Kray
56.2271,90.40766,Krasnoyarsk Kray
56.22552,90.40884,Krasnoyarsk Kray
56.23243,90.41044,Krasnoyarsk Kray
56.23089,90.41075,Krasnoyarsk Kray
56.23759,90.41093,Krasnoyarsk Kray
56.23129,90.41138,Krasnoyarsk Kray
56.23467,90.41387,Krasnoyarsk Kray
56.22937,90.41685,Krasnoyarsk Kray
52.60615,91.96743,Krasnoyarsk Kray
52.60725,91.97054,Krasnoyarsk Kray
52.60114,91.97456,Krasnoyarsk Kray
52.60226,91.97533,Krasnoyarsk Kray
52.59716,91.97648,Krasnoyarsk Kray
52.60685,91.97772,Krasnoyarsk Kray
52.6016,91.98034,Krasnoyarsk Kray
55.97502,92.91814,Krasnoyarsk Kray
55.9741,92.92104,Krasnoyarsk Kray
55.97818,92.92471,Krasnoyarsk Kray
56.88857,95.2808,Krasnoyarsk Kray
60.43889,96.2509,Krasnoyarsk Kray
60.43814,96.25186,Krasnoyarsk Kray
60.43374,96.25254,Krasnoyarsk Kray
60.43465,96.2547,Krasnoyarsk Kray
60.43906,96.2578,Krasnoyarsk Kray
60.42892,96.50854,Krasnoyarsk Kray
60.4237,96.50922,Krasnoyarsk Kray
60.42422,96.51105,Krasnoyarsk Kray
60.42906,96.51485,Krasnoyarsk Kray
60.42383,96.51544,Krasnoyarsk Kray
60.78806,96.97461,Krasnoyarsk Kray
60.78862,96.97818,Krasnoyarsk Kray
60.98135,97.15816,Krasnoyarsk Kray
60.84495,97.34867,Krasnoyarsk Kray
60.84538,97.34966,Krasnoyarsk Kray
60.84333,97.35053,Krasnoyarsk Kray
60.8456,97.35498,Krasnoyarsk Kray
60.84505,97.35607,Krasnoyarsk Kray
60.84345,97.35786,Krasnoyarsk Kray
60.84228,97.35795,Krasnoyarsk Kray
60.75875,97.55741,Krasnoyarsk Kray
60.75888,97.56267,Krasnoyarsk Kray
52.61115,103.89779,Irkutsk Oblast
52.5344,103.94611,Irkutsk Oblast
52.52705,103.94887,Irkutsk Oblast
